chr1	713730	714096
chr1	714243	714797
chr1	761947	762884
chr1	840500	840719
chr1	893906	894658
chr1	894828	895161
chr1	895676	895914
chr1	896250	896638
chr1	901586	902609
chr1	948357	949281
chr1	955007	955210
chr1	955531	955731
chr1	955833	956136
chr1	956336	956597
chr1	968592	968791
chr1	994470	994690
chr1	994766	996109
chr1	997547	997931
chr1	999392	999663
chr1	1004516	1004746
chr1	1051131	1051527
chr1	1051685	1052312
chr1	1092895	1093472
chr1	1136265	1136825
chr1	1141305	1142211
chr1	1148039	1148592
chr1	1148765	1149132
chr1	1149349	1149552
chr1	1166154	1167378
chr1	1208352	1209225
chr1	1209351	1209808
chr1	1240280	1240615
chr1	1242654	1242951
chr1	1243407	1243850
chr1	1243982	1244715
chr1	1259607	1260012
chr1	1260167	1260931
chr1	1284076	1284511
chr1	1284903	1285361
chr1	1309883	1310835
chr1	1310917	1311385
chr1	1333696	1334693
chr1	1334944	1335837
chr1	1341827	1342628
chr1	1342743	1343567
chr1	1406319	1407378
chr1	1407517	1407721
chr1	1446507	1447410
chr1	1447902	1448103
chr1	1508969	1511021
chr1	1549436	1550737
chr1	1550843	1551216
chr1	1551266	1552025
chr1	1590420	1590712
chr1	1655162	1655386
chr1	1655524	1655997
chr1	1708982	1712230
chr1	1820761	1822072
chr1	1822574	1822869
chr1	1822971	1823412
chr1	1840131	1840570
chr1	1840778	1841034
chr1	1850404	1850799
chr1	1850878	1851254
chr1	1981323	1981735
chr1	2064282	2064946
chr1	2065086	2065368
chr1	2105945	2106152
chr1	2120756	2120997
chr1	2121107	2121545
chr1	2125985	2126212
chr1	2126275	2126804
chr1	2130914	2131375
chr1	2135864	2136301
chr1	2136765	2137085
chr1	2158848	2159102
chr1	2160264	2164457
chr1	2165654	2166103
chr1	2166203	2166449
chr1	2177776	2178085
chr1	2222411	2222751
chr1	2231915	2232649
chr1	2245888	2246182
chr1	2322571	2323005
chr1	2323283	2324216
chr1	2343766	2344004
chr1	2344200	2344728
chr1	2457015	2457691
chr1	2477796	2478446
chr1	2478539	2478995
chr1	2487220	2488820
chr1	2516630	2516972
chr1	2517031	2518076
chr1	2518217	2518462
chr1	2518546	2519004
chr1	2573872	2574672
chr1	3087666	3087885
chr1	3371602	3371847
chr1	3447166	3447973
chr1	3535832	3536031
chr1	3540395	3541329
chr1	3541904	3542487
chr1	3565840	3566216
chr1	3566294	3566956
chr1	3663585	3664291
chr1	3688678	3689073
chr1	3711948	3713702
chr1	3759659	3759922
chr1	3772910	3774729
chr1	3807421	3807914
chr1	3815937	3817890
chr1	6051299	6051767
chr1	6052087	6052515
chr1	6052751	6054061
chr1	6086098	6088319
chr1	6088369	6088800
